ticker,entry_date,entry_price,entry_pct_from_52w_high,entry_pct_from_50dma,entry_pe,entry_beta,entry_market_cap,entry_rsi,entry_macd_hist,entry_adx,entry_bb_position,entry_trend_5d,entry_trend_20d,entry_ma_alignment,entry_analyst_pct,entry_short_ratio,entry_put_call_ratio,entry_iv,entry_iv_rank,entry_hv_20,entry_days_to_earnings,entry_day_of_week
MSFT,1/2/2026,,,,,,,48.0,,,,,,,96.0,,,22.0,,,,
AMZN,12/23/2025,,,,,,,49.6,,,,,,,96.0,,,63.0,,,,
AMD,12/31/2025,,,,,,,35.0,,,,,,,72.0,,,38.0,,,,
CRWD,12/12/2025,,,,,,,57.1,,,,,,,65.0,,,58.0,,,,
CRWD,12/29/2025,,,,,,,26.8,,,,,,,65.0,,,58.0,,,,
TSLA,12/29/2025,,,,,,,45.0,,,,,,,58.0,,,52.0,,,,
NVDA,12/2/2025,,,,,,,38.5,,,,,,,94.0,,,17.0,,,,
HOOD,12/1/2025,,,,,,,40.8,,,,,,,71.0,,,79.0,,,,
HOOD,12/12/2025,,,,,,,59.1,,,,,,,71.0,,,79.0,,,,
AVGO,12/22/2025,,,,,,,42.0,,,,,,,87.0,,,31.0,,,,
MSFT,12/11/2025,,,,,,,53.2,,,,,,,96.0,,,37.0,,,,
CRM,11/4/2025,,,,,,,51.295713916271666,,,,,,,82,,,42,,,,
LCID,9/8/2025,,,,,,,33.84103569580989,,,,,,,48,,,85,,,,
CRM,9/25/2025,,,,,,,41.02710999518453,,,,,,,82,,,42,,,,
META,10/4/2025,,,,,,,43.88299929343955,,,,,,,85,,,35,,,,
SNOW,10/3/2025,,,,,,,45.484148244761464,,,,,,,72,,,48,,,,
RIVN,9/2/2025,,,,,,,33.4436668178992,,,,,,,55,,,72,,,,
V,10/6/2025,,,,,,,48.36227178049015,,,,,,,94,,,18,,,,
CRM,11/6/2025,,,,,,,42.338960993621086,,,,,,,82,,,42,,,,
MA,10/25/2025,,,,,,,49.52986261991848,,,,,,,91,,,20,,,,
RIVN,9/19/2025,,,,,,,41.09983883886568,,,,,,,55,,,72,,,,
LCID,9/24/2025,,,,,,,30.244400301897702,,,,,,,48,,,85,,,,
SNOW,9/17/2025,,,,,,,35.61144806026422,,,,,,,72,,,48,,,,
META,10/13/2025,,,,,,,35.63826264473583,,,,,,,85,,,35,,,,
PLTR,11/24/2025,,,,,,,69.81649050734384,,,,,,,58,,,55,,,,
ADBE,9/24/2025,,,,,,,47.11688235673749,,,,,,,78,,,32,,,,
META,11/10/2025,,,,,,,45.241925520388136,,,,,,,85,,,35,,,,
RIVN,9/20/2025,,,,,,,31.79355311682152,,,,,,,55,,,72,,,,
ADBE,9/19/2025,,,,,,,50.9994946228607,,,,,,,78,,,32,,,,
GOOGL,10/18/2025,,,,,,,47.14956315493519,,,,,,,88,,,28,,,,
V,11/23/2025,,,,,,,53.305739400455494,,,,,,,94,,,18,,,,
CRM,9/3/2025,,,,,,,53.65564644002763,,,,,,,82,,,42,,,,
V,11/2/2025,,,,,,,53.43258013990885,,,,,,,94,,,18,,,,
GOOGL,9/24/2025,,,,,,,47.641156027423975,,,,,,,88,,,28,,,,
ADBE,9/4/2025,,,,,,,53.355431905212086,,,,,,,78,,,32,,,,
COIN,9/2/2025,,,,,,,53.740229357474995,,,,,,,62,,,68,,,,
